iter	RMSE
0	1.282329693
1	1.281134237
2	1.279707757
3	1.279013796
4	1.277965293
5	1.276958806
6	1.276488481
7	1.275569492
8	1.274793421
9	1.274352173
10	1.272922373
11	1.272078896
12	1.271812567
13	1.270276657
14	1.26963162
15	1.269256405
16	1.269117694
17	1.268292888
18	1.267521556
19	1.267157252
20	1.265644406
21	1.26437906
22	1.264051992
23	1.263934605
24	1.263380078
25	1.262471369
26	1.262435334
27	1.261552743
28	1.260801215
29	1.260660424
30	1.260069879
31	1.259393863
32	1.258666493
33	1.257587144
34	1.256902911
35	1.25604968
36	1.255690291
37	1.254398798
38	1.253882984
39	1.25316147
40	1.252733965
41	1.251632093
42	1.251602995
43	1.251602003
44	1.250916064
45	1.249745858
46	1.249203648
47	1.249176657
48	1.249013691
49	1.248984821
50	1.24834523
51	1.247765899
52	1.24677508
53	1.246080475
54	1.245608358
55	1.245190926
56	1.244598598
57	1.243777582
58	1.242053023
59	1.241242673
60	1.241100631
61	1.239996289
62	1.239800451
63	1.239678057
64	1.238814021
65	1.238136366
66	1.238126807
67	1.238111678
68	1.237134478
69	1.236235537
70	1.235949885
71	1.235180309
72	1.235102585
73	1.234503309
74	1.23370867
75	1.23368189
76	1.233176549
77	1.233089171
78	1.231996563
79	1.231513138
80	1.2311439
81	1.230426566
82	1.229669239
83	1.229172974
84	1.228836632
85	1.227766202
86	1.227268374
87	1.227234602
88	1.22641766
89	1.225546107
90	1.224588682
91	1.223859975
92	1.223646471
93	1.223324051
94	1.22325464
95	1.222455226
96	1.221581767
97	1.221114168
98	1.221103403
99	1.219344198
100	1.218983533
101	1.217472285
102	1.217472284
103	1.217388581
104	1.215824735
105	1.21576943
106	1.215396878
107	1.215006279
108	1.214630747
109	1.21456204
110	1.214232577
111	1.21376204
112	1.212762349
113	1.212721974
114	1.212701538
115	1.212508494
116	1.212416785
117	1.21234594
118	1.211456568
119	1.211398061
120	1.209951516
121	1.20994237
122	1.208587906
123	1.208576256
124	1.207690423
125	1.207308644
126	1.206077779
127	1.205982099
128	1.204618584
129	1.203768966
130	1.202838956
131	1.201801252
132	1.201774167
133	1.200412637
134	1.200020625
135	1.199606321
136	1.199589148
137	1.199193541
138	1.198618431
139	1.198283449
140	1.197151799
141	1.196478393
142	1.195412192
143	1.19466764
144	1.194252992
145	1.193484582
146	1.19348275
147	1.192818482
148	1.19253146
149	1.192515785
150	1.192487252
151	1.191869636
152	1.191809194
153	1.190484791
154	1.190069081
155	1.189930911
156	1.188879243
157	1.187598846
158	1.186971919
159	1.186370297
160	1.186357371
161	1.185144746
162	1.18461916
163	1.184231194
164	1.183869613
165	1.182749619
166	1.182665894
167	1.180938633
168	1.180567677
169	1.179619391
170	1.179214957
171	1.178987444
172	1.178787936
173	1.177748039
174	1.177735096
175	1.17678294
176	1.17579667
177	1.175241195
178	1.174866048
179	1.174599032
180	1.174564234
181	1.17408236
182	1.17282317
183	1.172814893
184	1.172045464
185	1.171802611
186	1.171029697
187	1.170536591
188	1.169497582
189	1.169319318
190	1.168551867
191	1.166683902
192	1.166171122
