iter	Passed	Remaining
0	39	39207
1	86	42996
2	133	44251
3	185	46079
4	240	47785
5	310	51461
6	360	51205
7	416	51686
8	469	51718
9	483	47868
10	534	48044
11	549	45253
12	619	47068
13	641	45146
14	687	45177
15	740	45571
16	788	45604
17	845	46141
18	881	45533
19	928	45498
20	979	45659
21	1033	45943
22	1095	46521
23	1144	46540
24	1188	46341
25	1234	46231
26	1246	44903
27	1257	43643
28	1303	43651
29	1348	43587
30	1393	43548
31	1437	43470
32	1449	42472
33	1490	42352
34	1534	42306
35	1577	42255
36	1626	42334
37	1671	42324
38	1710	42151
39	1757	42191
40	1775	41534
41	1823	41594
42	1849	41156
43	1869	40627
44	1894	40208
45	1940	40247
46	1983	40218
47	1995	39581
48	2037	39546
49	2064	39231
50	2109	39256
51	2155	39294
52	2197	39261
53	2239	39235
54	2263	38896
55	2304	38848
56	2347	38831
57	2359	38315
58	2411	38468
59	2458	38509
60	2515	38717
61	2525	38211
62	2569	38209
63	2614	38236
64	2656	38217
65	2702	38241
66	2744	38221
67	2767	37929
68	2830	38189
69	2890	38404
70	2937	38439
71	2986	38493
72	3031	38499
73	3074	38470
74	3120	38484
75	3164	38478
76	3208	38465
77	3254	38464
78	3298	38458
79	3321	38198
80	3362	38154
81	3408	38157
82	3453	38156
83	3495	38117
84	3539	38104
85	3584	38090
86	3630	38102
87	3675	38086
88	3717	38054
89	3744	37865
90	3760	37559
91	3804	37550
92	3855	37604
93	3871	37317
94	3918	37324
95	3964	37330
96	3975	37013
97	3991	36742
98	4035	36724
99	4051	36459
100	4097	36470
101	4124	36314
102	4146	36109
103	4195	36146
104	4243	36173
105	4261	35942
106	4303	35919
107	4325	35722
108	4370	35727
109	4414	35717
110	4461	35729
111	4506	35728
112	4526	35531
113	4574	35550
114	4620	35557
115	4631	35297
116	4694	35428
117	4741	35443
118	4789	35454
119	4817	35328
120	4869	35372
121	4915	35372
122	4981	35520
123	5051	35689
124	5064	35451
125	5112	35463
126	5130	35268
127	5172	35239
128	5205	35145
129	5228	34989
130	5278	35012
131	5327	35035
132	5380	35076
133	5429	35090
134	5474	35077
135	5518	35058
136	5563	35045
137	5608	35035
138	5653	35017
139	5696	34990
140	5739	34965
141	5784	34952
142	5804	34783
143	5853	34796
144	5899	34783
145	5947	34788
146	5993	34777
147	6004	34566
148	6049	34552
149	6093	34532
150	6137	34510
151	6181	34484
152	6226	34467
153	6243	34296
154	6266	34164
155	6308	34131
156	6353	34115
157	6399	34102
158	6443	34082
159	6494	34095
160	6544	34105
161	6591	34096
162	6638	34090
163	6682	34062
164	6724	34027
165	6742	33874
166	6784	33842
167	6834	33846
168	6913	33994
169	6960	33981
170	6992	33899
171	7035	33870
172	7080	33845
173	7101	33712
174	7154	33729
175	7223	33820
176	7270	33806
177	7284	33638
178	7325	33600
179	7352	33495
180	7407	33516
181	7453	33500
182	7498	33479
183	7542	33451
184	7586	33422
185	7640	33435
186	7696	33459
187	7743	33445
188	7789	33426
189	7840	33426
190	7893	33432
191	7936	33397
192	7981	33373
193	8030	33361
194	8073	33330
195	8122	33320
196	8172	33311
197	8219	33293
198	8267	33277
199	8313	33255
200	8359	33230
201	8406	33209
202	8453	33189
203	8503	33178
204	8553	33170
205	8607	33177
206	8652	33148
207	8701	33132
208	8753	33127
209	8800	33104
210	8848	33088
211	8902	33089
212	8951	33074
213	9004	33073
214	9062	33089
215	9129	33135
216	9176	33110
217	9225	33093
218	9276	33083
219	9325	33063
220	9376	33050
221	9438	33075
222	9484	33048
223	9530	33017
224	9576	32987
225	9626	32968
226	9673	32940
227	9724	32926
228	9770	32896
229	9816	32865
230	9869	32854
231	9919	32837
232	9964	32800
233	10012	32776
234	10059	32747
235	10107	32721
236	10157	32701
237	10204	32671
238	10253	32649
239	10299	32613
240	10342	32571
241	10390	32545
242	10447	32546
243	10510	32563
244	10565	32560
245	10616	32539
246	10667	32519
247	10720	32505
248	10773	32494
249	10828	32486
250	10877	32458
251	10924	32427
252	10972	32396
253	11066	32501
254	11127	32510
255	11179	32489
256	11255	32541
257	11335	32600
258	11405	32631
259	11461	32621
260	11514	32602
261	11564	32575
262	11637	32611
263	11687	32583
264	11736	32551
265	11791	32537
266	11852	32540
267	11899	32500
268	11944	32459
269	11989	32416
270	12037	32382
271	12085	32346
272	12129	32299
273	12175	32259
274	12230	32244
275	12278	32208
276	12337	32201
277	12405	32218
278	12463	32207
279	12559	32295
280	12627	32309
281	12700	32336
